metric_id,dataset,official_source_url,source_file,source_sheet,source_cell_row_1_based,source_cell_col_1_based,population,sex,jurisdiction,period,reference_period,experience_window,indicator,value_percent,rse_percent,reliability_flag,unit,notes
Table_2.3_r19_c3_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,19,3,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total physical violence in the last 12 months,6.1,16.0,generally_reliable_rse_under_25,percent,
Table_2.3_r30_c2_Females_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,30,2,Persons aged 18 years and over,Females,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,4.2,7.0,generally_reliable_rse_under_25,percent,
Table_2.3_r30_c3_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,30,3,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,6.0,16.2,generally_reliable_rse_under_25,percent,
Table_2.3_r37_c2_Females_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,37,2,Persons aged 18 years and over,Females,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Intimate partner or family member violence in the last 12 months,1.9,11.6,generally_reliable_rse_under_25,percent,
Table_2.3_r37_c3_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,37,3,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Intimate partner or family member violence in the last 12 months,0.7,37.9,use_with_caution_rse_25_to_50,percent,
Table_2.3_r38_c2_Females_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,38,2,Persons aged 18 years and over,Females,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Intimate partner violence in the last 12 months,1.5,13.2,generally_reliable_rse_under_25,percent,
Table_2.3_r38_c3_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,38,3,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Intimate partner violence in the last 12 months,0.6,44.4,use_with_caution_rse_25_to_50,percent,
Table_2.3_r39_c2_Females_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,39,2,Persons aged 18 years and over,Females,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Cohabiting partner violence in the last 12 months,0.9,16.1,generally_reliable_rse_under_25,percent,
Table_2.3_r39_c3_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,39,3,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Cohabiting partner violence in the last 12 months,0.5,,not_available_or_not_applicable,percent,
Table_2.3_r40_c2_Females_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,40,2,Persons aged 18 years and over,Females,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Boyfriend/girlfriend/date violence in the last 12 months,0.7,18.9,generally_reliable_rse_under_25,percent,
