state_name,state_code,value_percent,rse_percent
New South Wales,NSW,29.1,4.6
Victoria,VIC,29.4,4.4
Queensland,QLD,33.6,4.4
South Australia,SA,31.0,4.0
Western Australia,WA,33.5,4.6
Tasmania,TAS,32.7,4.1
Northern Territory,NT,37.1,6.3
Australian Capital Territory,ACT,31.2,5.8
