metric,estimate_thousands,proportion_percent,estimate_rse_percent,proportion_rse_percent,reference_period,population_denominator,source_table,source_cells
Temporarily separated,583.8,42.8,5.2,4.2,2021-22,Women who experienced violence by a previous partner while living together,"ABS Partner violence 2021-22, Tables 18.1 and 18.2",Table 18.1 B7/C7; Table 18.2 B7/C7
Temporarily separated once only,218.9,16.0,9.5,9.0,2021-22,Women who experienced violence by a previous partner while living together,"ABS Partner violence 2021-22, Tables 18.1 and 18.2",Table 18.1 B12/C12; Table 18.2 B12/C12
Temporarily separated more than once,357.9,26.2,6.4,5.6,2021-22,Women who experienced violence by a previous partner while living together,"ABS Partner violence 2021-22, Tables 18.1 and 18.2",Table 18.1 B8/C8; Table 18.2 B8/C8
Did not temporarily separate,781.7,57.3,4.0,2.5,2021-22,Women who experienced violence by a previous partner while living together,"ABS Partner violence 2021-22, Tables 18.1 and 18.2",Table 18.1 B13/C13; Table 18.2 B13/C13
Total cohort,1364.7,100.0,3.1,0.0,2021-22,Women who experienced violence by a previous partner while living together,"ABS Partner violence 2021-22, Tables 18.1 and 18.2",Table 18.1 B15/C15; Table 18.2 B15/C15
